Rc153	VDDHV#7868	VDDHV#13642	-8.52,-3.1 	-8.52,-7.55
Rc155	VDDHV#13644	VDDHV#177	-12.84,-19.25 	-12.84,-14.8
Rc159	VDDHV#177	VDDHV#7890	-11.3995,-9.5495 	-11.4,-14.8
Rc160	VDDHV#7890	VDDHV#13650	-11.4,-14.8 	-11.4,-19.25
Rc164	VDDHV#177	VDDHV#13654	-9.96,-14.8 	-9.96,-19.25
Rc166	VDDHV#177	VDDHV#7885	-8.5195,-9.5495 	-8.52,-14.8
Rc167	VDDHV#7885	VDDHV#13657	-8.52,-14.8 	-8.52,-19.25
Rc169	OUT#14154	OUT#8262	-1.76,1.35 	-1.76,-3.1
Rc170	OUT#8262	OUT#8263	-1.76,-3.1 	-1.7595,-8.3495
Rc177	OUT#8263	OUT#8270	-3.1995,-8.3495 	-3.2,-3.1
Rc178	OUT#8270	OUT#14164	-3.2,-3.1 	-3.2,1.35
Rc179	OUT#8263	OUT#3	-4.6395,-8.3495 	-4.64,-3.1
Rc180	OUT#3	OUT#14166	-4.64,-3.1 	-4.64,1.35
Rc181	OUT#8263	OUT#8275	-6.0795,-8.3495 	-6.08,-3.1
Rc182	OUT#8275	OUT#14168	-6.08,-3.1 	-6.08,1.35
Rc183	OUT#14169	OUT#8278	-1.76,-10.35 	-1.76,-14.8
Rc184	OUT#8278	OUT#8279	-1.76,-14.8 	-1.7595,-20.0495
Rc191	OUT#8279	OUT#8286	-3.1995,-20.0495 	-3.2,-14.8
Rc192	OUT#8286	OUT#14179	-3.2,-14.8 	-3.2,-10.35
Rc193	OUT#8279	OUT#3	-4.6395,-20.0495 	-4.64,-14.8
Rc194	OUT#3	OUT#14181	-4.64,-14.8 	-4.64,-10.35
Rc195	OUT#8279	OUT#8291	-6.0795,-20.0495 	-6.08,-14.8
Rc196	OUT#8291	OUT#14183	-6.08,-14.8 	-6.08,-10.35
Rc197	VDDHV#13659	VDDHV#177	-6.8,-7.55 	-6.8,-3.1
Rc201	VDDHV#177	VDDHV#7907	-5.3595,2.15 	-5.36,-3.1
Rc202	VDDHV#7907	VDDHV#13665	-5.36,-3.1 	-5.36,-7.55
Rc206	VDDHV#177	VDDHV#13669	-3.92,-3.1 	-3.92,-7.55
Rc208	VDDHV#177	VDDHV#7902	-2.4795,2.15 	-2.48,-3.1
Rc209	VDDHV#7902	VDDHV#13672	-2.48,-3.1 	-2.48,-7.55
Rc211	VDDHV#13674	VDDHV#177	-6.8,-19.25 	-6.8,-14.8
Rc215	VDDHV#177	VDDHV#7924	-5.3595,-9.5495 	-5.36,-14.8
Rc216	VDDHV#7924	VDDHV#13680	-5.36,-14.8 	-5.36,-19.25
Rc220	VDDHV#177	VDDHV#13684	-3.92,-14.8 	-3.92,-19.25
Rc222	VDDHV#177	VDDHV#7919	-2.4795,-9.5495 	-2.48,-14.8
Rc223	VDDHV#7919	VDDHV#13687	-2.48,-14.8 	-2.48,-19.25
Rc225	OUT#14184	OUT#8294	4.28,1.35 	4.28,-3.1
Rc226	OUT#8294	OUT#8295	4.28,-3.1 	4.28,-8.3495
Rc233	OUT#8295	OUT#8302	2.84,-8.3495 	2.84,-3.1
Rc234	OUT#8302	OUT#14194	2.84,-3.1 	2.84,1.35
Rc235	OUT#8295	OUT#3	1.4,-8.3495 	1.4,-3.1
Rc236	OUT#3	OUT#14196	1.4,-3.1 	1.4,1.35
Rc237	OUT#8295	OUT#8307	-0.0395,-8.3495 	-0.04,-3.1
Rc238	OUT#8307	OUT#14198	-0.04,-3.1 	-0.04,1.35
Rc239	OUT#14199	OUT#8310	4.28,-10.35 	4.28,-14.8
Rc240	OUT#8310	OUT#8311	4.28,-14.8 	4.28,-20.0495
Rc247	OUT#8311	OUT#8318	2.84,-20.0495 	2.84,-14.8
Rc248	OUT#8318	OUT#14209	2.84,-14.8 	2.84,-10.35
Rc249	OUT#8311	OUT#3	1.4,-20.0495 	1.4,-14.8
Rc250	OUT#3	OUT#14211	1.4,-14.8 	1.4,-10.35
Rc251	OUT#8311	OUT#8323	-0.0395,-20.0495 	-0.04,-14.8
Rc252	OUT#8323	OUT#14213	-0.04,-14.8 	-0.04,-10.35
Rc253	VDDHV#13689	VDDHV#177	-0.76,-7.55 	-0.76,-3.1
Rc257	VDDHV#177	VDDHV#7941	0.68,2.15 	0.68,-3.1
Rc258	VDDHV#7941	VDDHV#13695	0.68,-3.1 	0.68,-7.55
Rc262	VDDHV#177	VDDHV#13699	2.12,-3.1 	2.12,-7.55
Rc264	VDDHV#177	VDDHV#7936	3.56,2.15 	3.56,-3.1
Rc265	VDDHV#7936	VDDHV#13702	3.56,-3.1 	3.56,-7.55
Rc267	VDDHV#13704	VDDHV#177	-0.76,-19.25 	-0.76,-14.8
Rc271	VDDHV#177	VDDHV#7958	0.68,-9.5495 	0.68,-14.8
Rc272	VDDHV#7958	VDDHV#13710	0.68,-14.8 	0.68,-19.25
Rc276	VDDHV#177	VDDHV#13714	2.12,-14.8 	2.12,-19.25
Rc278	VDDHV#177	VDDHV#7953	3.56,-9.5495 	3.56,-14.8
Rc279	VDDHV#7953	VDDHV#13717	3.56,-14.8 	3.56,-19.25
Rc281	OUT#14214	OUT#8326	10.32,1.35 	10.32,-3.1
Rc282	OUT#8326	OUT#8327	10.32,-3.1 	10.32,-8.3495
Rc289	OUT#8327	OUT#8334	8.88,-8.3495 	8.88,-3.1
Rc290	OUT#8334	OUT#14224	8.88,-3.1 	8.88,1.35
Rc291	OUT#8327	OUT#3	7.44,-8.3495 	7.44,-3.1
Rc292	OUT#3	OUT#14226	7.44,-3.1 	7.44,1.35
Rc293	OUT#8327	OUT#8339	6,-8.3495 	6,-3.1
Rc294	OUT#8339	OUT#14228	6,-3.1 	6,1.35
Rc295	OUT#14229	OUT#8342	10.32,-10.35 	10.32,-14.8
Rc296	OUT#8342	OUT#8343	10.32,-14.8 	10.32,-20.0495
Rc303	OUT#8343	OUT#8350	8.88,-20.0495 	8.88,-14.8
Rc304	OUT#8350	OUT#14239	8.88,-14.8 	8.88,-10.35
Rc305	OUT#8343	OUT#3	7.44,-20.0495 	7.44,-14.8
Rc306	OUT#3	OUT#14241	7.44,-14.8 	7.44,-10.35
Rc307	OUT#8343	OUT#8355	6,-20.0495 	6,-14.8
Rc308	OUT#8355	OUT#14243	6,-14.8 	6,-10.35
Rc309	VDDHV#13719	VDDHV#177	5.28,-7.55 	5.28,-3.1
Rc313	VDDHV#177	VDDHV#7975	6.72,2.15 	6.72,-3.1
Rc314	VDDHV#7975	VDDHV#13725	6.72,-3.1 	6.72,-7.55
Rc318	VDDHV#177	VDDHV#13729	8.16,-3.1 	8.16,-7.55
Rc320	VDDHV#177	VDDHV#7970	9.6,2.15 	9.6,-3.1
Rc321	VDDHV#7970	VDDHV#13732	9.6,-3.1 	9.6,-7.55
Rc323	VDDHV#13734	VDDHV#177	5.28,-19.25 	5.28,-14.8
Rc327	VDDHV#177	VDDHV#7992	6.72,-9.5495 	6.72,-14.8
Rc328	VDDHV#7992	VDDHV#13740	6.72,-14.8 	6.72,-19.25
Rc332	VDDHV#177	VDDHV#13744	8.16,-14.8 	8.16,-19.25
Rc334	VDDHV#177	VDDHV#7987	9.6,-9.5495 	9.6,-14.8
Rc335	VDDHV#7987	VDDHV#13747	9.6,-14.8 	9.6,-19.25
Rc337	OUT#14244	OUT#8358	16.36,1.35 	16.36,-3.1
Rc338	OUT#8358	OUT#8359	16.36,-3.1 	16.36,-8.3495
Rc345	OUT#8359	OUT#8366	14.92,-8.3495 	14.92,-3.1
Rc346	OUT#8366	OUT#14254	14.92,-3.1 	14.92,1.35
Rc347	OUT#8359	OUT#3	13.48,-8.3495 	13.48,-3.1
